Calculation1,School,City,County/State/Country,App GPA,Adm GPA,Enrl GPA
CARRBORO HIGH SCHOOL340590,CARRBORO HIGH SCHOOL,Carrboro,North Carolina,4.19,4.16,
CARROLL HIGH SCHOOL361794,CARROLL HIGH SCHOOL,Dayton,Ohio,3.58,,
CARROLL SENIOR HIGH SCHOOL442963,CARROLL SENIOR HIGH SCHOOL,Southlake,Texas,4.01,4.06,4.06
CARROLLTON SACRED HEART SCHOOL101047,CARROLLTON SACRED HEART SCHOOL,Miami,Florida,4.03,3.97,
CARSON HIGH SCHOOL290035,CARSON HIGH SCHOOL,Carson City,Nevada,4.09,,
CARVER CENTER ARTS & TECH211025,CARVER CENTER ARTS & TECH,Baltimore,Maryland,3.94,,
CARY ACADEMY340601,CARY ACADEMY,Cary,North Carolina,4.11,4.04,
CASADY SCHOOL372640,CASADY SCHOOL,Oklahoma City,Oklahoma,3.85,,
CASCADE SENIOR HIGH SCHOOL480383,CASCADE SENIOR HIGH SCHOOL,Everett,Washington,4.12,4.2,
CASS TECHNICAL HIGH SCHOOL230850,CASS TECHNICAL HIGH SCHOOL,Detroit,Michigan,3.97,4.04,
CATALINA FOOTHILLS HIGH SCHOOL030476,CATALINA FOOTHILLS HIGH SCHOOL,Tucson,Arizona,3.98,4.06,
CATHEDRAL HIGH SCHOOL151660,CATHEDRAL HIGH SCHOOL,Indianapolis,Indiana,3.78,,
CATHEDRAL HIGH SCHOOL442210,CATHEDRAL HIGH SCHOOL,El Paso,Texas,3.75,,
CATHOLIC MEMORIAL HIGH SCHOOL222363,CATHOLIC MEMORIAL HIGH SCHOOL,West Roxbury,Massachusetts,3.75,3.75,
CATHOLIC MEMORIAL HIGH SCHOOL502385,CATHOLIC MEMORIAL HIGH SCHOOL,Waukesha,Wisconsin,3.93,3.99,
CATLIN GABEL SCHOOL380845,CATLIN GABEL SCHOOL,Portland,Oregon,3.74,3.75,
CATS ACADEMY BOSTON221541,CATS ACADEMY BOSTON,Braintree,Massachusetts,3.72,3.75,
CEDAR PARK HIGH SCHOOL441174,CEDAR PARK HIGH SCHOOL,Cedar Park,Texas,4.07,4.15,
CEDAR RIDGE HIGH SCHOOL446027,CEDAR RIDGE HIGH SCHOOL,Round Rock,Texas,4.16,,
CEDARCREST HIGH SCHOOL480145,CEDARCREST HIGH SCHOOL,Duvall,Washington,3.88,,
CENTAURUS HIGH SCHOOL060865,CENTAURUS HIGH SCHOOL,Lafayette,Colorado,3.92,4.07,
CENTENNIAL HIGH SCHOOL130389,CENTENNIAL HIGH SCHOOL,Boise,Idaho,4,,
CENTENNIAL HIGH SCHOOL140593,CENTENNIAL HIGH SCHOOL,Champaign,Illinois,4.17,4.2,
CENTENNIAL HIGH SCHOOL210509,CENTENNIAL HIGH SCHOOL,Ellicott City,Maryland,3.97,3.96,
CENTENNIAL HIGH SCHOOL290191,CENTENNIAL HIGH SCHOOL,Las Vegas,Nevada,3.84,3.87,
CENTENNIAL HIGH SCHOOL380848,CENTENNIAL HIGH SCHOOL,Gresham,Oregon,4.08,,
CENTENNIAL HIGH SCHOOL430701,CENTENNIAL HIGH SCHOOL,Franklin,Tennessee,3.94,,
CENTENNIAL HIGH SCHOOL442633,CENTENNIAL HIGH SCHOOL,Frisco,Texas,4.03,4.06,
CENTER FOR INT'L STUDIES HS060471,CENTER FOR INT'L STUDIES HS,Denver,Colorado,3.94,4.11,
CENTRAL BUCKS HIGH SCHOOL EAST390488,CENTRAL BUCKS HIGH SCHOOL EAST,Doylestown,Pennsylvania,4.05,4.04,
CENTRAL BUCKS HIGH SCHOOL WEST391045,CENTRAL BUCKS HIGH SCHOOL WEST,Doylestown,Pennsylvania,4.04,4.09,
CENTRAL CATHOLIC HIGH SCHOOL221115,CENTRAL CATHOLIC HIGH SCHOOL,Lawrence,Massachusetts,3.93,3.99,
CENTRAL CATHOLIC HIGH SCHOOL380850,CENTRAL CATHOLIC HIGH SCHOOL,Portland,Oregon,3.91,3.95,3.95
CENTRAL CATHOLIC HIGH SCHOOL393655,CENTRAL CATHOLIC HIGH SCHOOL,Pittsburgh,Pennsylvania,3.33,,
CENTRAL HIGH SCHOOL041422,CENTRAL HIGH SCHOOL,Little Rock,Arkansas,4.11,4.18,
CENTRAL HIGH SCHOOL393275,CENTRAL HIGH SCHOOL,Philadelphia,Pennsylvania,3.73,,
CENTRAL KITSAP HIGH SCHOOL481195,CENTRAL KITSAP HIGH SCHOOL,Silverdale,Washington,4.1,4.13,
CENTREVILLE HIGH SCHOOL470549,CENTREVILLE HIGH SCHOOL,Clifton,Virginia,3.64,3.97,
CENTURY HIGH SCHOOL130497,CENTURY HIGH SCHOOL,Pocatello,Idaho,3.65,,
CENTURY HIGH SCHOOL242092,CENTURY HIGH SCHOOL,Rochester,Minnesota,4.26,,
CHAMBLEE CHARTER HIGH SCHOOL110650,CHAMBLEE CHARTER HIGH SCHOOL,Chamblee,Georgia,4,4.1,
CHAMINADE HIGH SCHOOL333150,CHAMINADE HIGH SCHOOL,Mineola,New York,3.85,4.01,
CHAMPLAIN VALLEY UNION HS460175,CHAMPLAIN VALLEY UNION HS,Hinesburg,Vermont,3.77,,
CHAMPLIN PARK HIGH SCHOOL240419,CHAMPLIN PARK HIGH SCHOOL,Champlin,Minnesota,4.36,4.38,
CHANDLER HIGH SCHOOL030045,CHANDLER HIGH SCHOOL,Chandler,Arizona,3.93,3.97,
CHANDLER PREPARATORY ACADEMY030649,CHANDLER PREPARATORY ACADEMY,Chandler,Arizona,3.76,,
CHANHASSEN HIGH SCHOOL240421,CHANHASSEN HIGH SCHOOL,Chanhassen,Minnesota,4.14,4.07,
CHANTILLY HIGH SCHOOL470402,CHANTILLY HIGH SCHOOL,Chantilly,Virginia,3.86,3.87,
CHAPARRAL HIGH SCHOOL030397,CHAPARRAL HIGH SCHOOL,Scottsdale,Arizona,4.01,4.05,4.08
CHAPARRAL HIGH SCHOOL061152,CHAPARRAL HIGH SCHOOL,Parker,Colorado,4.06,4.03,
CHAPARRAL HIGH SCHOOL290096,CHAPARRAL HIGH SCHOOL,Las Vegas,Nevada,4.17,4.17,
CHAPEL HILL HIGH SCHOOL340645,CHAPEL HILL HIGH SCHOOL,Chapel Hill,North Carolina,4.17,4.18,
CHAPEL HILL-CHAUNCY HALL SCH222190,CHAPEL HILL-CHAUNCY HALL SCH,Waltham,Massachusetts,3.77,3.77,
CHAPIN SCHOOL333540,CHAPIN SCHOOL,New York,New York,4.14,4.19,
CHARLES A LINDBERGH HS480985,CHARLES A LINDBERGH HS,Renton,Washington,3.85,,
CHARLES J COLGAN SR HIGH SCHL470002,CHARLES J COLGAN SR HIGH SCHL,Manassas,Virginia,3.79,,
CHARLES WRIGHT ACADEMY481368,CHARLES WRIGHT ACADEMY,Tacoma,Washington,4.05,4.09,
CHARLOTTE COUNTRY DAY SCHOOL340666,CHARLOTTE COUNTRY DAY SCHOOL,Charlotte,North Carolina,3.98,4.09,
CHARLOTTE LATIN SCHOOL340663,CHARLOTTE LATIN SCHOOL,Charlotte,North Carolina,3.54,,
CHARTER SCHOOL OF WILMINGTON080164,CHARTER SCHOOL OF WILMINGTON,Wilmington,Delaware,4.15,4.19,
CHASE COLLEGIATE SCHOOL070850,CHASE COLLEGIATE SCHOOL,Waterbury,Connecticut,3.54,3.48,
CHATFIELD SENIOR HIGH SCHOOL060926,CHATFIELD SENIOR HIGH SCHOOL,Littleton,Colorado,4.09,4.05,
CHATHAM HALL470445,CHATHAM HALL,Chatham,Virginia,4.03,,
CHATHAM HIGH SCHOOL310224,CHATHAM HIGH SCHOOL,Chatham,New Jersey,3.82,3.83,
CHATTAHOOCHEE HIGH SCHOOL110146,CHATTAHOOCHEE HIGH SCHOOL,Johns Creek,Georgia,4.11,4.06,
CHELMSFORD HIGH SCHOOL220575,CHELMSFORD HIGH SCHOOL,North Chelmsford,Massachusetts,3.83,,
CHEROKEE TRAIL HIGH SCHOOL060086,CHEROKEE TRAIL HIGH SCHOOL,Aurora,Colorado,3.99,4.23,
CHERRY CREEK HIGH SCHOOL060515,CHERRY CREEK HIGH SCHOOL,Greenwood Villag,Colorado,3.89,4,3.99
CHESHIRE ACADEMY070095,CHESHIRE ACADEMY,Cheshire,Connecticut,3.87,3.9,3.88
CHESHIRE HIGH SCHOOL070100,CHESHIRE HIGH SCHOOL,Cheshire,Connecticut,4.14,4.15,
CHEYENNE MOUNTAIN HIGH SCHOOL060268,CHEYENNE MOUNTAIN HIGH SCHOOL,Colorado Springs,Colorado,4.05,,
CHICAGO MATH & SCIENCE ACAD140721,CHICAGO MATH & SCIENCE ACAD,Chicago,Illinois,3.76,,
CHIEF SEALTH INTERNATIONAL HS481161,CHIEF SEALTH INTERNATIONAL HS,Seattle,Washington,3.61,,
CHOATE ROSEMARY HALL070810,CHOATE ROSEMARY HALL,Wallingford,Connecticut,3.74,3.78,
CHRISTCHURCH SCHOOL470500,CHRISTCHURCH SCHOOL,Christchurch,Virginia,3.47,,
CHRISTIAN ACAD OF LOUISVILLE181523,CHRISTIAN ACAD OF LOUISVILLE,Louisville,Kentucky,4.07,4.05,4
CHRISTIAN BROTHERS ACADEMY335465,CHRISTIAN BROTHERS ACADEMY,Syracuse,New York,4.11,,
CHRISTIAN HERITAGE SCHOOL070796,CHRISTIAN HERITAGE SCHOOL,Trumbull,Connecticut,3.74,3.88,
CHRISTOPHER COLUMBUS HS101048,CHRISTOPHER COLUMBUS HS,Miami,Florida,3.51,,
CINCINNATI COUNTRY DAY SCHOOL360955,CINCINNATI COUNTRY DAY SCHOOL,Cincinnati,Ohio,3.75,3.75,3.6
CINCINNATI HILLS CHRSTN ACAD360957,CINCINNATI HILLS CHRSTN ACAD,Cincinnati,Ohio,3.77,,
CINCO RANCH HIGH SCHOOL443509,CINCO RANCH HIGH SCHOOL,Katy,Texas,3.96,4.11,
CITY HIGH / MIDDLE SCHOOL231693,CITY HIGH / MIDDLE SCHOOL,Grand Rapids,Michigan,4.14,4.09,
CITY HIGH SCHOOL162155,CITY HIGH SCHOOL,Iowa City,Iowa,4.16,,
CLACKAMAS HIGH SCHOOL380673,CLACKAMAS HIGH SCHOOL,Clackamas,Oregon,4.08,4.15,
CLARKE CENTRAL HIGH SCHOOL110115,CLARKE CENTRAL HIGH SCHOOL,Athens,Georgia,4.17,,
CLARKSBURG HIGH SCHOOL210381,CLARKSBURG HIGH SCHOOL,Clarksburg,Maryland,4.13,4.22,
CLARKSTON SENIOR HIGH SCHOOL230630,CLARKSTON SENIOR HIGH SCHOOL,Clarkston,Michigan,4.06,,
CLARKSTOWN HIGH SCHOOL SOUTH335913,CLARKSTOWN HIGH SCHOOL SOUTH,West Nyack,New York,3.89,,
CLASSEN SCH ADVANCED STUDIES372651,CLASSEN SCH ADVANCED STUDIES,Oklahoma City,Oklahoma,3.95,,
CLAUDIA TAYLOR LADYBIRD JOHNSO446093,CLAUDIA TAYLOR LADYBIRD JOHNSO,San Antonio,Texas,4.01,4.11,
CLAYTON HIGH SCHOOL260645,CLAYTON HIGH SCHOOL,Clayton,Missouri,3.86,3.98,
CLEAR BROOK HIGH SCHOOL442624,CLEAR BROOK HIGH SCHOOL,Friendswood,Texas,4.16,,
CLEAR CREEK HIGH SCHOOL444087,CLEAR CREEK HIGH SCHOOL,League City,Texas,3.93,3.98,
CLEAR FALLS HIGH SCHOOL444080,CLEAR FALLS HIGH SCHOOL,League City,Texas,4.11,,
CLEAR LAKE HIGH SCHOOL443361,CLEAR LAKE HIGH SCHOOL,Houston,Texas,4,3.94,
CLEAR SPRINGS HIGH SCHOOL444082,CLEAR SPRINGS HIGH SCHOOL,League City,Texas,4.13,,
CLEVELAND HIGH SCHOOL380855,CLEVELAND HIGH SCHOOL,Portland,Oregon,4.18,4.25,
CLEVELAND HIGH SCHOOL481055,CLEVELAND HIGH SCHOOL,Seattle,Washington,4.09,4.13,
COEUR D ALENE SR HIGH SCHOOL130120,COEUR D ALENE SR HIGH SCHOOL,Coeur D Alene,Idaho,4.1,4.1,
COLD SPRING HARBOR HIGH SCHOOL331437,COLD SPRING HARBOR HIGH SCHOOL,Cold Spring Hrbr,New York,3.98,,
COLEGIO SAN IGNACIO DE LOYOLA544400,COLEGIO SAN IGNACIO DE LOYOLA,San Juan,Puerto Rico,3.88,,
COLLEGE STATION HIGH SCHOOL441401,COLLEGE STATION HIGH SCHOOL,College Station,Texas,4.15,,
COLLEGIATE SCHOOL333565,COLLEGIATE SCHOOL,New York,New York,3.84,,
COLLEGIATE SCHOOL471845,COLLEGIATE SCHOOL,Richmond,Virginia,3.97,,
COLLEYVILLE HERITAGE HS441408,COLLEYVILLE HERITAGE HS,Colleyville,Texas,3.99,4.15,
COLLIERVILLE HIGH SCHOOL430410,COLLIERVILLE HIGH SCHOOL,Collierville,Tennessee,4.18,4.16,
COLORADO ACADEMY060393,COLORADO ACADEMY,Denver,Colorado,3.92,3.94,
COLORADO990284,COLORADO,n/a,Colorado,3.75,,
COLTS NECK HIGH SCHOOL310253,COLTS NECK HIGH SCHOOL,Colts Neck,New Jersey,3.55,,
COLUMBIA GRAMMAR AND PREP SCH333570,COLUMBIA GRAMMAR AND PREP SCH,New York,New York,4.05,,
COLUMBIA HIGH SCHOOL310750,COLUMBIA HIGH SCHOOL,Maplewood,New Jersey,3.82,3.84,
COLUMBIA RIVER HIGH SCHOOL481460,COLUMBIA RIVER HIGH SCHOOL,Vancouver,Washington,4.22,4.23,
COLUMBIA-ROCK BRIDGE SENIOR HS260728,COLUMBIA-ROCK BRIDGE SENIOR HS,Columbia,Missouri,4.24,,
COLUMBINE HIGH SCHOOL060927,COLUMBINE HIGH SCHOOL,Littleton,Colorado,3.96,,
COLUMBUS ACADEMY361525,COLUMBUS ACADEMY,Gahanna,Ohio,4.17,,
COLUMBUS HIGH SCHOOL110825,COLUMBUS HIGH SCHOOL,Columbus,Georgia,4.2,4.2,
COLUMBUS NORTH HIGH SCHOOL150610,COLUMBUS NORTH HIGH SCHOOL,Columbus,Indiana,4.1,,
COMMUNICATION ARTS HIGH SCHOOL446139,COMMUNICATION ARTS HIGH SCHOOL,San Antonio,Texas,4.08,,
COMMUNICATIONS HS MONMOUTH CTY311586,COMMUNICATIONS HS MONMOUTH CTY,Wall Township,New Jersey,3.94,,
COMMUNITY HIGH SCHOOL230084,COMMUNITY HIGH SCHOOL,Ann Arbor,Michigan,3.96,3.93,
COMMUNITY HS DIST 99 NORTH HS141630,COMMUNITY HS DIST 99 NORTH HS,Downers Grove,Illinois,3.95,,
COMMUNITY SCHOOL OF NAPLES101206,COMMUNITY SCHOOL OF NAPLES,Naples,Florida,3.82,3.91,
"COMMUNITY SCHOOL, THE130307","COMMUNITY SCHOOL, THE",Sun Valley,Idaho,3.79,3.78,
CONCORD ACADEMY220640,CONCORD ACADEMY,Concord,Massachusetts,3.76,3.7,
CONCORD-CARLISLE REGIONAL HS220645,CONCORD-CARLISLE REGIONAL HS,Concord,Massachusetts,3.86,3.92,
CONESTOGA HIGH SCHOOL390295,CONESTOGA HIGH SCHOOL,Berwyn,Pennsylvania,4.05,4.08,
CONNECTICUT990285,CONNECTICUT,n/a,Connecticut,3.79,,
CONVENT OF THE SACRED HEART070220,CONVENT OF THE SACRED HEART,Greenwich,Connecticut,3.89,,
COPPELL HIGH SCHOOL441485,COPPELL HIGH SCHOOL,Coppell,Texas,3.9,4.04,
CORAL GABLES SENIOR HS100289,CORAL GABLES SENIOR HS,Coral Gables,Florida,4.07,4.07,
CORAL REEF SENIOR HIGH SCHOOL101199,CORAL REEF SENIOR HIGH SCHOOL,Miami,Florida,3.87,4.02,
CORNER CANYON HIGH SCHOOL450073,CORNER CANYON HIGH SCHOOL,Draper,Utah,4.25,4.27,
CORNING-PAINTED POST HS331490,CORNING-PAINTED POST HS,Corning,New York,4.07,,
CORONA DEL SOL HIGH SCHOOL030431,CORONA DEL SOL HIGH SCHOOL,Tempe,Arizona,4.03,4.14,
CORONADO HIGH SCHOOL290069,CORONADO HIGH SCHOOL,Henderson,Nevada,3.98,4.1,4.19
CORONADO HIGH SCHOOL442212,CORONADO HIGH SCHOOL,El Paso,Texas,4.01,4.06,
CORVALLIS HIGH SCHOOL380210,CORVALLIS HIGH SCHOOL,Corvallis,Oregon,3.92,4.08,
COTTER HIGH SCHOOL242720,COTTER HIGH SCHOOL,Winona,Minnesota,3.46,3.67,
COUNCIL ROCK HIGH SCHOOL NORTH392985,COUNCIL ROCK HIGH SCHOOL NORTH,Newtown,Pennsylvania,4.02,4.16,
COVENANT SCHOOL470433,COVENANT SCHOOL,Charlottesville,Virginia,3.83,3.83,
CRANBROOK KINGSWOOD SCHOOL230355,CRANBROOK KINGSWOOD SCHOOL,Bloomfield Hills,Michigan,3.97,3.98,
CRESCENT VALLEY HIGH SCHOOL380211,CRESCENT VALLEY HIGH SCHOOL,Corvallis,Oregon,4.12,4.13,
CRETIN-DERHAM HALL242245,CRETIN-DERHAM HALL,St Paul,Minnesota,3.83,,
CRISTO REY ATLANTA JESUIT HS110232,CRISTO REY ATLANTA JESUIT HS,Atlanta,Georgia,3.92,4.07,
CROTON-HARMON HIGH SCHOOL331550,CROTON-HARMON HIGH SCHOOL,Croton On Hudson,New York,4.07,4.22,
CULVER ACADEMIES150695,CULVER ACADEMIES,Culver,Indiana,4.04,4.04,3.86
CURTIS SENIOR HIGH SCHOOL481382,CURTIS SENIOR HIGH SCHOOL,University Place,Washington,4.21,4.14,
CUSHING ACADEMY220050,CUSHING ACADEMY,Ashburnham,Massachusetts,3.82,3.86,3.98
CY-FAIR SENIOR HIGH SCHOOL441690,CY-FAIR SENIOR HIGH SCHOOL,Cypress,Texas,4.08,,
CYPRESS BAY HIGH SCHOOL101842,CYPRESS BAY HIGH SCHOOL,Weston,Florida,3.84,3.94,
CYPRESS CREEK HIGH SCHOOL101248,CYPRESS CREEK HIGH SCHOOL,Orlando,Florida,4.1,4.18,
CYPRESS CREEK HIGH SCHOOL443358,CYPRESS CREEK HIGH SCHOOL,Houston,Texas,3.94,,
CYPRESS RANCH HIGH SCHOOL441689,CYPRESS RANCH HIGH SCHOOL,Cypress,Texas,4.04,4.17,
CYPRESS WOODS HIGH SCHOOL443302,CYPRESS WOODS HIGH SCHOOL,Cypress,Texas,4.06,4.17,
D'EVELYN JUNIOR SENIOR HS060671,D'EVELYN JUNIOR SENIOR HS,Denver,Colorado,4.03,4.11,
DALTON SCHOOL333580,DALTON SCHOOL,New York,New York,3.85,3.89,
DANA HALL SCHOOL222275,DANA HALL SCHOOL,Wellesley,Massachusetts,4,4.05,
DARIEN HIGH SCHOOL070145,DARIEN HIGH SCHOOL,Darien,Connecticut,3.85,3.96,3.9
DARLINGTON SCHOOL112585,DARLINGTON SCHOOL,Rome,Georgia,4.19,4.19,
DAVID DOUGLAS HIGH SCHOOL380865,DAVID DOUGLAS HIGH SCHOOL,Portland,Oregon,4.03,4.06,
DAVIDSON ACADEMY290207,DAVIDSON ACADEMY,Reno,Nevada,3.96,3.98,
DAVIDSON ACADEMY431653,DAVIDSON ACADEMY,Nashville,Tennessee,3.86,3.86,
DEARBORN HIGH SCHOOL230765,DEARBORN HIGH SCHOOL,Dearborn,Michigan,4.01,,
DEEP RUN HIGH SCHOOL470952,DEEP RUN HIGH SCHOOL,Glen Allen,Virginia,4.1,,
DEERFIELD ACADEMY220685,DEERFIELD ACADEMY,Deerfield,Massachusetts,3.93,3.97,
DEERFIELD HIGH SCHOOL141570,DEERFIELD HIGH SCHOOL,Deerfield,Illinois,4.02,4.01,
DELBARTON SCHOOL310835,DELBARTON SCHOOL,Morristown,New Jersey,4.06,,
DENMARK HIGH SCHOOL111000,DENMARK HIGH SCHOOL,Alpharetta,Georgia,4.06,,
DENVER SCHOOL OF THE ARTS060443,DENVER SCHOOL OF THE ARTS,Denver,Colorado,3.93,3.98,
DESERT MOUNTAIN HIGH SCHOOL030396,DESERT MOUNTAIN HIGH SCHOOL,Scottsdale,Arizona,4.05,4.09,
DESERT OASIS HIGH SCHOOL290219,DESERT OASIS HIGH SCHOOL,Las Vegas,Nevada,3.96,4.05,
DESERT RIDGE HIGH SCHOOL030424,DESERT RIDGE HIGH SCHOOL,Mesa,Arizona,3.59,3.63,
DESERT VISTA HIGH SCHOOL030328,DESERT VISTA HIGH SCHOOL,Phoenix,Arizona,4.08,4.11,4.19
DETROIT COUNTRY DAY SCHOOL230330,DETROIT COUNTRY DAY SCHOOL,Beverly Hills,Michigan,3.89,3.99,
DISCOVERY CANYON CAMPUS HS060244,DISCOVERY CANYON CAMPUS HS,Colorado Springs,Colorado,4.05,4.13,
DOCK MENNONITE ACADEMY392149,DOCK MENNONITE ACADEMY,Lansdale,Pennsylvania,3.9,3.88,3.95
DOMINICAN ACADEMY333595,DOMINICAN ACADEMY,New York,New York,3.81,,
DOMINION HIGH SCHOOL472178,DOMINION HIGH SCHOOL,Sterling,Virginia,3.93,,
DONOVAN CATHOLIC311463,DONOVAN CATHOLIC,Toms River,New Jersey,3.7,3.7,
DOUGLAS COUNTY HIGH SCHOOL060225,DOUGLAS COUNTY HIGH SCHOOL,Castle Rock,Colorado,4.06,,
DOUGLAS COUNTY HIGH SCHOOL111110,DOUGLAS COUNTY HIGH SCHOOL,Douglasville,Georgia,4.08,,
DOUGLAS HIGH SCHOOL030075,DOUGLAS HIGH SCHOOL,Douglas,Arizona,3.76,,
DOUGLAS HIGH SCHOOL290075,DOUGLAS HIGH SCHOOL,Minden,Nevada,4.1,4.11,
DOVER-SHERBORN HIGH SCHOOL220695,DOVER-SHERBORN HIGH SCHOOL,Dover,Massachusetts,3.69,3.71,
DOWLING CATHOLIC HIGH SCHOOL161190,DOWLING CATHOLIC HIGH SCHOOL,West Des Moines,Iowa,3.85,,
DOWNINGTOWN STEM ACADEMY391036,DOWNINGTOWN STEM ACADEMY,Downingtown,Pennsylvania,3.95,3.95,
DR JUSTIN WAKELAND HS442602,DR JUSTIN WAKELAND HS,Frisco,Texas,4.05,4.01,
DR PHILLIPS HIGH SCHOOL101279,DR PHILLIPS HIGH SCHOOL,Orlando,Florida,3.92,,
DR RONALD E MCNAIR ACADEMIC HS310612,DR RONALD E MCNAIR ACADEMIC HS,Jersey City,New Jersey,3.93,4.04,
DRIPPING SPRINGS HIGH SCHOOL442065,DRIPPING SPRINGS HIGH SCHOOL,Dripping Springs,Texas,3.79,,
DSST BYERS HIGH SCHOOL060485,DSST BYERS HIGH SCHOOL,Denver,Colorado,4.18,4.18,
DSST MONTVIEW HIGH SCHOOL060604,DSST MONTVIEW HIGH SCHOOL,Denver,Colorado,3.87,,
DUBLIN COFFMAN HIGH SCHOOL361995,DUBLIN COFFMAN HIGH SCHOOL,Dublin,Ohio,4.05,,
DUBLIN JEROME HIGH SCHOOL365076,DUBLIN JEROME HIGH SCHOOL,Dublin,Ohio,4.09,4.08,
DUCHESNE ACADEMY SACRED HEART443363,DUCHESNE ACADEMY SACRED HEART,Houston,Texas,4.17,4.17,
DULANEY HIGH210730,DULANEY HIGH,Timonium,Maryland,3.95,3.96,
DULLES HIGH SCHOOL446785,DULLES HIGH SCHOOL,Sugar Land,Texas,3.94,3.99,4.08
DULUTH HIGH SCHOOL111150,DULUTH HIGH SCHOOL,Duluth,Georgia,4.15,,
DUNLAP HIGH SCHOOL141645,DUNLAP HIGH SCHOOL,Dunlap,Illinois,4.02,4.11,
DUPONT MANUAL HIGH SCHOOL181525,DUPONT MANUAL HIGH SCHOOL,Louisville,Kentucky,3.99,4.09,
DURANGO HIGH SCHOOL060475,DURANGO HIGH SCHOOL,Durango,Colorado,4.04,,
DURANGO HIGH SCHOOL290118,DURANGO HIGH SCHOOL,Las Vegas,Nevada,3.91,,
DURHAM ACADEMY UPPER SCHOOL341049,DURHAM ACADEMY UPPER SCHOOL,Durham,North Carolina,4.2,,
DURHAM SCHOOL OF THE ARTS341050,DURHAM SCHOOL OF THE ARTS,Durham,North Carolina,3.86,,
DUTCH FORK HIGH SCHOOL411101,DUTCH FORK HIGH SCHOOL,Irmo,South Carolina,3.99,,
DUVAL SENIOR HIGH SCHOOL210679,DUVAL SENIOR HIGH SCHOOL,Lanham,Maryland,3.71,,
DUXBURY HIGH SCHOOL220700,DUXBURY HIGH SCHOOL,Duxbury,Massachusetts,3.73,,
DWIGHT D EISENHOWER HS233696,DWIGHT D EISENHOWER HS,Shelby Township,Michigan,4.09,,
DWIGHT SCHOOL THE333605,DWIGHT SCHOOL THE,New York,New York,4.05,4.14,
DWIGHT-ENGLEWOOD SCHOOL310355,DWIGHT-ENGLEWOOD SCHOOL,Englewood,New Jersey,3.83,3.85,
EAGAN HIGH SCHOOL242121,EAGAN HIGH SCHOOL,Eagan,Minnesota,4.08,,
EAGLE HIGH SCHOOL130177,EAGLE HIGH SCHOOL,Eagle,Idaho,4.18,4.2,
EAGLE VALLEY HIGH SCHOOL060725,EAGLE VALLEY HIGH SCHOOL,Gypsum,Colorado,4.06,4.06,
EAGLECREST HIGH SCHOOL060066,EAGLECREST HIGH SCHOOL,Centennial,Colorado,3.96,,
EAGLES LANDING CHRISTIAN ACAD112046,EAGLES LANDING CHRISTIAN ACAD,Mcdonough,Georgia,4.07,4.07,
EARL WOOSTER HIGH SCHOOL290142,EARL WOOSTER HIGH SCHOOL,Reno,Nevada,3.97,,
EARLY COLLEGE ALLIANCE AT EMU233841,EARLY COLLEGE ALLIANCE AT EMU,Ypsilanti,Michigan,3.79,,
EAST BRUNSWICK HIGH SCHOOL310283,EAST BRUNSWICK HIGH SCHOOL,East Brunswick,New Jersey,3.94,4.01,
EAST CAREER/TECHNICAL ACADEMY290227,EAST CAREER/TECHNICAL ACADEMY,Las Vegas,Nevada,3.55,,
EAST CATHOLIC HIGH SCHOOL070373,EAST CATHOLIC HIGH SCHOOL,Manchester,Connecticut,3.76,3.82,
EAST CHAPEL HILL HIGH SCHOOL340646,EAST CHAPEL HILL HIGH SCHOOL,Chapel Hill,North Carolina,3.95,4.06,
EAST GRAND RAPIDS HIGH SCHOOL231705,EAST GRAND RAPIDS HIGH SCHOOL,Grand Rapids,Michigan,4.15,4.22,
EAST HIGH SCHOOL060400,EAST HIGH SCHOOL,Denver,Colorado,4.02,4.08,4.04
EAST HIGH SCHOOL450365,EAST HIGH SCHOOL,Salt Lake City,Utah,4.14,4.15,
EAST LANSING HIGH SCHOOL231300,EAST LANSING HIGH SCHOOL,East Lansing,Michigan,4.06,4.14,
EAST MEADOW HIGH SCHOOL331715,EAST MEADOW HIGH SCHOOL,East Meadow,New York,4.04,4.06,
EAST RIDGE HIGH SCHOOL242738,EAST RIDGE HIGH SCHOOL,Woodbury,Minnesota,3.97,4.02,
EASTCHESTER HIGH SCHOOL335630,EASTCHESTER HIGH SCHOOL,Eastchester,New York,4.02,,
EASTERN CHRISTIAN HIGH SCHOOL311110,EASTERN CHRISTIAN HIGH SCHOOL,North Haledon,New Jersey,3.8,3.76,
EASTERN TECHNICAL HIGH SCHOOL210079,EASTERN TECHNICAL HIGH SCHOOL,Baltimore,Maryland,3.77,,
EASTLAKE HIGH SCHOOL480548,EASTLAKE HIGH SCHOOL,Sammamish,Washington,4.03,4.05,3.97
EASTON AREA HIGH SCHOOL391130,EASTON AREA HIGH SCHOOL,Easton,Pennsylvania,4.04,,
EASTSIDE CATHOLIC HIGH SCHOOL480067,EASTSIDE CATHOLIC HIGH SCHOOL,Sammamish,Washington,3.94,4,3.7
EASTSIDE HIGH SCHOOL100544,EASTSIDE HIGH SCHOOL,Gainesville,Florida,4.13,,
EASTSIDE PREPARATORY SCHOOL480564,EASTSIDE PREPARATORY SCHOOL,Kirkland,Washington,3.74,3.83,
EASTVIEW HIGH SCHOOL242123,EASTVIEW HIGH SCHOOL,Apple Valley,Minnesota,4.19,4.2,
